id,plain_summary
727,"This bill creates a support scheme for people infected with HIV or hepatitis C through contaminated blood transfusions or blood products (a major health scandal in the 1970s-80s), and for families of those who died. It aims to provide financial compensation and access to healthcare support to help affected people and acknowledge the serious harm caused."
730,"This Act allows the government to use the 'Contingencies Fund' - a pot of emergency money - to pay for urgent, unexpected expenses without getting Parliament's approval first. The government must later tell Parliament what the money was spent on, but it can access the funds immediately when needed for genuine emergencies."
732,"This bill aims to boost renewable energy in the UK by making it simpler to build wind farms on land. It does this by introducing 'contracts for difference' - agreements that guarantee renewable energy companies a set price for their electricity, reducing their financial risk and encouraging investment in clean energy."
740,This bill aims to make conversion therapy illegal across the UK. Conversion therapy refers to attempts to change someone's sexual orientation or gender identity through treatments or practices - something medical experts say is harmful and ineffective. The bill would prevent people from offering or promoting these practices.
745,"This Act sets out the legal framework for how co-operatives and community benefit societies (businesses owned and run by their members for shared benefit) must be registered, managed, and operated in the UK. It ensures these organisations follow proper rules to protect members' money and interests."
746,"This bill aims to make it easier for co-operative and community benefit societies to invest in environmentally sustainable projects. These are organisations owned and run by their members (like credit unions or housing co-ops), and the bill would help them invest in things like renewable energy and green initiatives while still operating successfully."
747,"This bill updates and improves the legal framework for three types of organisations: co-operatives (businesses owned by workers or members), community benefit societies (organisations that benefit local communities), and credit unions (financial groups that lend money to members). The changes aim to make it easier for these groups to operate and grow while protecting members' interests."
748,"This Act sets out the legal rules for how co-operatives, community benefit societies, and credit unions should be run in the UK. It covers things like how they're registered, how they manage members' money, and what they must do to stay registered and trustworthy."
749,"This bill aims to help co-operatives (businesses owned and run by their members) and social enterprises (businesses that exist mainly to help society, not just make profit) grow stronger. It would provide them with better access to funding, training, and support to create more jobs and community benefits across the UK."
750,"This bill creates a new legal framework for co-operative housing, where groups of people can own and manage homes together rather than through traditional individual ownership or landlords. Members would share decision-making and costs, similar to how food co-ops or credit unions work, but applied to housing."
751,"The Co-operative Housing Tenure Bill establishes a new legal framework for co-operative housing in the UK, where residents collectively own and manage their homes rather than renting from a landlord or purchasing individually. The bill creates formal recognition of housing co-operatives as a distinct tenure type, sets out governance standards, and provides legal protections for co-operative members. It aims to make co-operative housing more accessible and sustainable by clarifying property rights, financing mechanisms, and member responsibilities within a regulated structure."
752,"This bill would allow schools in the UK to operate as co-operatives, meaning they're run jointly by staff, parents, and the community working together as equal partners. Instead of one person or organization controlling the school, everyone involved would have a share in decisions about how it's managed."
753,"This bill aims to encourage more UK workers to own a share of the companies they work for, similar to co-operative or mutual business models. The government would likely offer financial incentives to make it easier for employees to buy into their workplace, giving them a say in how the business is run."
754,"This bill allows co-operatives (businesses owned and run by their members together) to sell a new type of investment called 'permanent shares'. These are long-term investments where shareholders get a share of profits but less control than regular members, helping co-operatives raise money more easily."
755,"This Act updates the laws governing co-operatives (member-owned businesses), mutuals (member-owned financial organizations), and friendly societies (member-run insurance clubs). It aims to make it easier for these types of organizations to operate while keeping rules in place to protect the people who own and use them."
762,"The Coronavirus Act 2020 was emergency legislation that gave the government and public services special powers to handle the COVID-19 crisis. It allowed rules to be changed quickly, provided financial help to workers and businesses, and made it easier for the NHS to operate during the pandemic."
766,"This bill aims to change how coroners (officials who investigate unexplained deaths) decide whether a death was suicide. Currently, coroners must be 'sure beyond reasonable doubt' - the same standard used in criminal courts. The bill would clarify what evidence coroners should consider when making these difficult decisions."
787,"This bill aims to set and enforce better safety and quality standards for cosmetic surgery procedures (like breast implants, facelifts, and liposuction) across the UK. It would ensure clinics, surgeons, and facilities meet certain requirements to protect patients from harm and poor-quality treatment."
792,"This bill deals with council tax valuation bands - the system used to put homes into different groups (A through H) based on their value, which determines how much council tax you pay. The bill would make changes to how this valuation system works, though the specific details aren't yet clear at this early stage."
793,"This bill proposes to reform the council tax valuation bands system. Council tax is the local tax that households pay, and it's currently based on property values from 1991. The bill would likely update how homes are sorted into different value bands to reflect modern-day property prices."
798,"The Counter-Terrorism Act 2008 gives UK police and security services enhanced powers to investigate, monitor, and prevent terrorist activities. It includes measures like extended detention periods for suspects, better information-sharing between agencies, and tools to disrupt terrorist funding and planning."
799,"This Act strengthens UK laws against terrorism and border control. It gives police and security services more powers to investigate suspected terrorists, control who enters the country, and punish those involved in terrorism-related activities. It also creates new offences related to travelling abroad for terrorism purposes."
801,"This bill makes changes to the existing counter-terrorism laws from 2015. It adjusts how the government can monitor potential threats and deals with other security measures, though the specific amendments aren't detailed in the information provided."
802,"This Act toughens the UK's response to terrorism by increasing prison sentences for terror-related crimes, allowing courts to extend sentences for dangerous offenders, and giving authorities stronger powers to monitor and prevent terrorist activities. It aims to make it harder for terrorists to operate and to punish them more severely when caught."
806,"The Courts (Remote Hearings) Bill enables courts across England and Wales to conduct legal proceedings via video link and other remote technologies, rather than requiring all parties to be physically present in a courtroom. The bill provides a legal framework that allows judges to decide when remote hearings are appropriate, covering civil cases, criminal proceedings, and tribunal hearings. It aims to improve access to justice, reduce delays caused by geographical barriers or scheduling conflicts, and cut costs for court users. The bill maintains safeguards to ensure fair trials and allows judges to require in-person hearings when they believe it's necessary for justice."
811,This bill aims to identify and help people and businesses who didn't qualify for any of the government's Covid-19 financial support schemes during the pandemic. It would provide additional financial assistance to those who were left without help despite being affected by lockdowns and business closures.
812,This bill proposes to establish a system to compensate UK citizens who claim they have experienced serious health problems as a direct result of receiving a Covid-19 vaccine. It would create a process for people to apply for financial support if they can demonstrate vaccine-related harm.
813,"This bill proposes a system for people in the UK who believe they have suffered serious health damage from a Covid-19 vaccine to claim financial compensation. It would set out how people could apply for payments and what injuries would qualify for support, similar to compensation schemes that exist for other medical treatments."
814,"This bill proposes to create or change a system for handling claims from people who say they've been harmed by Covid-19 vaccines. It would set up a process for these claims to be assessed and potentially for people to receive compensation, similar to schemes that exist for damage caused by other medicines."
815,"This bill would establish a compensation scheme for people who have suffered serious adverse health effects they believe were caused by Covid-19 vaccines. It would create a legal framework allowing individuals to claim damages without having to prove negligence by vaccine manufacturers or the government. The scheme would cover medical costs, loss of earnings, and other damages for those who can demonstrate a causal link between vaccination and their injury. This differs from the existing Vaccine Damage Payment scheme, which has strict eligibility criteria and provides only £120,000 maximum compensation."
816,"This bill would create a new government compensation scheme for people who have suffered serious, lasting health damage that they believe was caused by receiving a Covid-19 vaccine. Similar schemes already exist for other vaccines, and this would work in a comparable way, with the government providing financial payments to approved claimants."
817,"This bill would set up a system to pay money to people in the UK who suffered serious health damage that they can prove was caused by a Covid-19 vaccine. It's similar to existing schemes for other vaccines, and would help affected people with costs like medical treatment and income they lost while unwell."
818,This bill would establish a system to pay compensation to people in the UK who believe they have suffered serious health damage as a direct result of receiving a Covid-19 vaccine. It's similar to existing schemes that compensate people harmed by other medicines or vaccines.
819,"This bill establishes a compensation scheme for people who have suffered severe adverse health effects from Covid-19 vaccines administered in the UK. It creates a legal framework and funding mechanism to provide payments to vaccine-injured individuals without requiring them to prove negligence or fault on the part of vaccine manufacturers or the NHS. The scheme would operate similarly to existing vaccine damage payment schemes, offering financial support to those who meet specific medical criteria for serious injury. The bill aims to provide a faster, more accessible route to compensation than pursuing traditional legal claims."
820,This bill gives the government legal authority to diagnose Covid-19 infections and provide vaccine treatments to UK citizens. It's currently being debated in Parliament to decide whether these powers should be formally approved in law.
821,"This bill gives the government legal authority to diagnose Covid-19 and provide vaccine treatments to the public. It's currently being debated in parliament to decide whether these powers should be formally approved, extended, or changed in some way."
823,"This bill aims to add new financial regulations to combat child sexual abuse material by requiring banks, payment systems, and credit providers to better monitor and prevent their services being used for CSAM-related crimes. It focuses on cutting off the money flow that supports this illegal activity."
831,"The Crime and Policing Bill is a legislative package designed to strengthen law enforcement powers and modernise the police service across England and Wales. It typically includes measures to expand police stop-and-search authorities, introduce new criminal offences (particularly around protest activities), enhance sentencing powers, and reform police conduct procedures. The bill aims to give officers additional tools to combat crime and anti-social behaviour while addressing public concerns about safety and disorder."
834,"This bill would allow members of the public to petition Parliament to trigger a review of criminal cases through the Criminal Cases Review Commission (CCRC). Currently, only the CCRC itself can decide which cases to investigate for potential miscarriages of justice. The bill creates a formal mechanism for citizens to submit evidence of potential wrongful convictions and require the CCRC to consider these petitions seriously. This could increase public scrutiny of the criminal justice system and potentially lead to more cases being re-examined for procedural errors or new evidence."
843,"This bill requires a formal review of the Criminal Injuries Compensation Authority (CICA), the public body that awards compensation to victims of violent crime in England, Scotland, and Wales. The review would examine how the CICA operates, including its decision-making processes, eligibility criteria, award levels, and efficiency. The bill aims to assess whether the current system adequately serves crime victims and whether changes are needed to improve how compensation claims are handled and processed."
844,This bill asks Parliament to take a close look at the Criminal Injuries Compensation Scheme - the system that gives money to people who have been victims of violent crime. A review would check if the scheme is still fair and fit for purpose in 2024.
852,"This bill changes the rules about criminal records in the UK. It likely focuses on things like: which convictions should be disclosed, how long records are kept, and whether people with old convictions can have them hidden from employers or the public. The exact details matter a lot - this is why Parliament is debating it."
858,"The Crossrail Act 2008 is a law that allows the government to build a new high-speed railway line running east to west across London and into surrounding areas. It gives the project legal permission and powers to acquire land, manage construction, and operate the new railway service (now known as the Elizabeth Line)."
860,"This bill would change the rules about who can work for the Crown (government and public sector organisations). Currently, most Crown jobs must go to British citizens, but this bill would allow non-British citizens to apply and work in these positions."
861,"This bill would change the rules so that non-British citizens can apply for and work in jobs for the Crown (the UK government and its organizations). Currently, most of these jobs require you to be a British citizen, but this bill would relax that requirement to open up employment opportunities to people from other countries."
872,"This bill requires organisations that fall victim to ransomware attacks or cyber extortion to report the incident to the relevant authorities within a specified timeframe. It aims to create a comprehensive database of cyber threats targeting UK businesses and institutions, helping law enforcement and cybersecurity agencies identify patterns, track criminals, and coordinate responses. The bill likely includes penalties for non-compliance and may establish exemptions for cases where reporting poses genuine security risks. By mandating disclosure, the government seeks to improve situational awareness of cyber threats and strengthen the UK's collective defence against organised cybercriminals."
873,"This bill updates UK cyber security law by replacing the outdated Network and Information Systems Regulations 2018 with new, stricter requirements for organisations that provide essential services and digital infrastructure. It requires critical sectors, such as energy, water, healthcare, and financial services, to implement stronger security measures, report cyber incidents faster, and comply with regular security audits. The bill also expands protections to cover more businesses in the digital sector and gives regulators stronger enforcement powers to penalise non-compliance, aiming to reduce vulnerability to cyber attacks that could harm public safety and national security."
878,"This bill aims to improve how people suffering from asbestos-related illnesses can claim financial compensation. Asbestos is a dangerous material that was widely used in buildings and products; this bill would make it fairer and simpler for victims to get money from those responsible for their exposure, particularly in cases where the original source is unclear or the responsible company no longer exists."
886,"This bill proposes amendments to the Dangerous Dogs Act 1991, which currently restricts ownership of certain dog breeds deemed high-risk (including pit bull type dogs). The amendments would modify how dangerous dogs are identified, regulated, and managed. The specific changes would depend on the amendment's provisions, potentially altering breed-specific legislation, changing assessment procedures, or adjusting penalties for owners. The bill aims to update 30+ year old legislation to reflect current dog behaviour science and public safety standards."
889,"The Data (Use and Access) Act 2025 reforms how organisations in the UK can collect, use, and share data. It establishes new rules giving individuals greater control over their personal information, requiring companies to be more transparent about data use, and creating pathways for researchers and public bodies to access data more easily for legitimate purposes like health research and policy-making. The bill aims to balance privacy protection with enabling beneficial uses of data by establishing clearer legal frameworks and enforcement mechanisms."
896,"This bill proposes changing how the UK manages daylight saving time, the practice of moving clocks forward an hour in spring and back an hour in autumn. Rather than continuing this twice-yearly switch, the bill would likely introduce permanent clock times, meaning we'd either stay on one time year-round or change how the system operates. The exact changes depend on which version of the bill passes through Parliament."
899,"The Debt Relief (Developing Countries) Bill enables the UK government to write off or reduce debts owed by developing countries, typically through bilateral agreements or multilateral initiatives. The bill provides the legal framework for the government to forgive loans that developing nations cannot feasibly repay, with the aim of freeing up resources in those countries for essential services like healthcare and education. This would apply to debts owed directly to the UK government rather than private creditors, and would likely be coordinated with other creditor nations to ensure fair burden-sharing."
954,"This bill would transfer power over employment and workplace rules from the UK Parliament in Westminster to the Scottish Parliament in Edinburgh. It would allow Scotland to set its own employment laws rather than following UK-wide rules, giving Scottish politicians more say over how work is regulated in Scotland."
959,This bill aims to transfer more government power from Parliament in London to local councils and regional authorities across England. It would let different areas make more decisions about their own services and policies rather than following one-size-fits-all rules set by central government.
975,"This Act allowed the UK government to give broadcasters and companies information about where people lived during the digital TV switchover (around 2008-2012). The information helped these companies contact people who needed help moving from old analogue TV signals to new digital ones, but it meant sharing personal data on a large scale."
976,"This bill aims to require that digitally altered images, particularly those that change body shape, size, or appearance, are clearly labeled or marked so viewers know they've been edited. The goal is to tackle the negative effects of unrealistic filtered images on people's self-image and mental wellbeing, especially among young people."
977,"This bill aims to tackle the problem of heavily filtered and edited body images on social media and in adverts. It would require that digitally altered images - like those with smoothed skin, reshaped bodies, or extreme filters - must be clearly labelled so viewers know they're not realistic. The goal is to protect people's mental health, especially young people who might feel pressured to look like impossible edited versions of real bodies."
978,This bill would require the UK's diplomatic service (embassies and government representatives abroad) to prioritize serving UK-produced wines and sparkling wines at official events and functions. It's designed to support British wine producers by giving their products prominence when the country is representing itself internationally.
985,"This bill aims to tackle the employment gap for disabled people in the UK. It would likely introduce measures to help disabled people get jobs and stay in work, addressing the fact that disabled people are less likely to be employed than non-disabled people."
988,"This bill asks the government to review Disabled Facilities Grants - money that helps disabled people pay for home improvements like ramps, grab rails, or accessible bathrooms. The review would check if the system is working properly and if changes are needed to make it better for disabled people and their families."
993,"This bill aims to make it a crime to leave needles abandoned in public spaces like streets, parks, or beaches. It would introduce legal penalties for people who discard needles irresponsibly, with the goal of reducing the risk of needle-stick injuries that can spread serious diseases like HIV and hepatitis."
995,This bill aims to control or ban the sale and use of single-use disposable barbecues (the small charcoal ones sold in shops). It's designed to reduce the risk of wildfires and accidental fires in outdoor spaces where these barbecues are often left unattended or not properly extinguished.
996,"This bill aims to address the problems caused by disposable barbecues, such as wildfires, injuries, and litter in outdoor spaces, by restricting their sale or use. It's a response to incidents where cheap, single-use barbecues have caused damage to landscapes and put people at risk."
997,"This bill would make it illegal to sell disposable e-cigarettes in the UK. Currently, people can buy single-use vapes that are thrown away after the battery runs out. The bill aims to stop this by prohibiting their sale, similar to how some other countries have already done."
1000,"This Act changed the rules about when UK general elections happen. Instead of elections being automatically held every five years on a fixed date, it gives the Prime Minister more freedom to decide when to call an election (within certain limits). Essentially, it replaced the Fixed-term Parliaments Act 2011, which had locked election dates in place."
1005,"This bill changes the financial rules for divorce in England and Wales. When married couples split up, they have to divide their money, pensions, and property - this bill would alter how those decisions are made by the courts."
1015,"This bill aims to encourage and support British doctors and nurses to work in developing countries. It likely removes barriers that prevent medical staff from taking time to help in poorer nations, either through voluntary work, short-term placements, or aid programmes."
1033,"This bill strengthens consumer protections for people commissioning domestic building works (such as extensions, renovations, and repairs to homes). It establishes clearer standards for builder conduct, requires better transparency in contracts and pricing, and creates enforcement mechanisms to hold builders accountable for poor workmanship or non-completion. The bill aims to reduce disputes between homeowners and builders by setting baseline requirements for qualifications, insurance, and dispute resolution before work begins."
1036,"This bill proposes to lower the Value Added Tax (VAT) on domestic energy - the tax people pay when they buy gas and electricity for their homes. Currently VAT is charged at the standard rate; this bill would reduce it, meaning households would see lower energy bills."
1038,"This bill proposes to reduce the Value Added Tax (VAT) rate on domestic energy bills, electricity, gas, and heating oil for household use, from the current 5% to 0%. The measure aims to lower household energy costs by removing the VAT charged on these essential utilities. The bill would apply to residential customers and is intended to help reduce energy bills during a period of high energy prices and to ease the cost-of-living burden on UK households."
1039,"This bill requires the government to launch a formal call for evidence on how to improve energy efficiency in UK homes. Rather than implementing specific new policies immediately, it first gathers information from experts, businesses, homeowners, and other stakeholders about what measures work best and are most cost-effective. The bill aims to inform future policy decisions on reducing household energy consumption and carbon emissions through better insulation, heating systems, and building standards. It essentially pauses for data collection before major legislative changes are made to domestic energy efficiency requirements."
1040,"This bill aims to improve how much energy UK homes waste by making them more efficient. It would likely involve government support (possibly funding or grants) to help people upgrade their homes with better heating, insulation, and other energy-saving improvements."
1044,"This bill sets rules to make homes more energy-efficient by reducing wasted heat and power. It likely requires homes to meet certain energy performance standards, similar to how cars have fuel efficiency ratings, to help people save money and protect the environment."
1054,"This bill aims to introduce stronger penalties specifically for people caught drink driving for a second or subsequent time. It's designed to punish repeat offenders more severely than first-time offenders, with the goal of stopping people from drink driving again and making roads safer."
1058,"This bill aims to automatically suspend driving instructors from their job if they are convicted of sexual offences. It's designed to protect learner drivers, particularly young and vulnerable people, by keeping convicted offenders out of one-on-one teaching situations where they have power over their students."
1060,"This bill makes changes to the laws about driving offences (breaking driving rules). However, the specific details of what is being changed aren't clear from the information provided - Parliament would need to see the full bill text to understand exactly what driving offences are being added, removed, or changed."
1071,"This bill allows police officers to conduct roadside drug tests on drivers they suspect of being under the influence of drugs. It aims to catch drug-impaired drivers quickly and reduce drug-driving accidents, similar to how current breath tests work for alcohol."
1103,"This bill aims to change education law so that students' non-religious philosophical beliefs (such as humanism, atheism, or secular worldviews) receive the same legal recognition and protection that religious beliefs currently have in schools. Currently, the law mainly focuses on protecting religious convictions, so this bill would extend those same safeguards to non-religious students."
1104,"This bill aims to improve how schools and councils support students with special educational needs - those who have disabilities, learning difficulties, or other challenges affecting their education. It likely changes rules about how these students are assessed, what help they receive, and how schools fund and deliver this support."
1106,"This bill would require schools in England to actively teach and promote 'British values' as a core part of the curriculum. It seeks to embed values such as democracy, the rule of law, individual liberty, and mutual respect across all educational settings. The bill aims to ensure that students develop a stronger understanding of British civic culture and constitutional principles. Schools would need to demonstrate how these values are integrated into teaching, potentially through dedicated lessons, assemblies, or cross-curricular approaches."
1128,"This bill would require people to prove who they are by showing identification before they can vote in UK elections. Currently, voters don't need to show ID - they just give their name and address. The bill would change this rule, though the exact type of ID accepted hasn't been fully detailed yet since it's still at an early stage."
1141,"This Act changed how people register to vote in the UK. It moved away from a household-based system to individual voter registration, meaning each person must now register themselves rather than one person registering everyone at an address. It also updated various rules about elections and how they are run."
1142,"This bill would change UK law to allow electric personal vehicles (such as e-scooters and electric skateboards) to be legally used on public roads and highways. Currently, most of these vehicles aren't allowed on roads, and this bill aims to create rules so they can be used safely alongside cars and pedestrians."
1143,"This bill would make it legal for people to use electric personal vehicles (such as e-scooters and electric skateboards) on highways and public roads in the UK. Currently, many of these vehicles exist in a legal grey area, so this bill would set clear rules about how and where they can be used."
1150,"This bill establishes legal standards and regulations for electrically assisted pedal cycles (e-bikes) in the UK. It defines what qualifies as an e-bike, sets safety and performance requirements, and clarifies where and how they can be used on public roads and paths. The bill aims to create consistency across the country while balancing the growth of e-bike usage with road safety and environmental goals."
1151,This bill requires the government to carry out a formal review of the UK's electricity grid - the network of cables and equipment that brings power to our homes and businesses. The review will check if the grid is fit for the future and working as efficiently as possible.
1155,"This bill aims to control how e-cigarettes are advertised and who can buy them in the UK. It would set a legal age limit for purchasing e-cigarettes (like we have for cigarettes) and restrict how companies can advertise these products, particularly to prevent them reaching young people."
1156,"This bill would introduce new laws to control how e-cigarettes are branded, promoted and advertised in the UK. It aims to restrict things like adverts, sponsorships and eye-catching packaging, with the main goal of preventing young people from being attracted to e-cigarettes and potentially getting addicted to nicotine."
1157,"This bill aims to bring in new rules for e-cigarettes and vaping products in the UK. It would control things like where they can be sold, how they're advertised, age restrictions for buyers, and possibly the ingredients allowed in them. The goal is to protect young people from vaping while balancing the needs of adults."
1158,"This bill introduces new regulations for electronic cigarettes and vaping products in the UK. It gives the government powers to control how e-cigarettes are made, packaged, advertised, and sold to protect public health, especially to prevent young people from using them."
1159,"This bill aims to make it easier for doctors and hospitals across the NHS to access and share electronic patient records with each other. The goal is to improve continuity of care by ensuring that all healthcare professionals treating you have access to the same up-to-date medical information, rather than having records scattered across different systems."
1161,"This bill would require schools in England to teach emergency and life-saving skills as part of the curriculum. Students would learn practical techniques including cardiopulmonary resuscitation (CPR), the recovery position, how to use automated external defibrillators (AEDs), and how to respond to choking, bleeding, and other medical emergencies. The bill aims to equip young people with knowledge that could help them save lives in emergency situations before professional medical help arrives."
1180,This bill aims to give workers on zero-hours contracts (where employers don't guarantee any minimum hours) the right to a guaranteed minimum number of working hours each week. This would make their pay and schedules more predictable and stable.
1181,"This bill would legally require employers to make reasonable changes to help people who are carers keep their jobs. For example, a worker caring for an elderly parent could ask for different hours or work-from-home options, and their employer would have to seriously consider this request rather than refuse it."
1183,"This bill aims to protect workers from being unfairly dismissed and then re-hired on worse terms. It targets a practice where employers fire workers (especially union members) and offer them their job back with lower pay or worse conditions, forcing workers to accept or lose their job. The bill would make this tactic illegal or more difficult."
1184,"This bill aims to protect workers from being dismissed and then rehired on worse conditions, particularly those involved in trade union activities. It stops employers from using dismissal and re-engagement as a way to reduce pay, change contracts, or weaken workers' rights."
1186,"This bill gives the Welsh Government greater control over employment support services in Wales, rather than these services being run by the UK Government. It allows Wales to design and deliver its own job-support schemes to help unemployed and disadvantaged people find work."
1188,"This bill aims to stop employers from treating people unfairly at work because of their insurance status or medical history. It would make it illegal to refuse someone a job, deny them promotion, or treat them badly based on insurance-related factors, similar to existing protections against discrimination."
1195,"This bill proposes changes to employment law in the UK - the rules that govern how employers and employees should treat each other at work. The exact details of what it changes aren't fully specified here, but it's currently being debated in Parliament to decide if it should become law."
1204,"This bill aims to expand parental leave rights so both mothers and fathers can share time off after having a baby, and to strengthen workers' rights to request flexible working arrangements (like part-time hours or working from home). The goal is to help parents balance work and family life more easily."
1206,"This bill aims to give clearer legal definitions of different types of employment status in the UK. Currently, the rules about who counts as an employee versus self-employed can be confusing, so this bill tries to make it simpler and fairer for both workers and businesses."
1207,"The Employment Status (Review) Bill creates a mechanism to review and clarify the employment status of workers in the UK, particularly those in ambiguous positions like gig economy workers, freelancers, and contractors. The bill aims to establish clearer definitions and tests to determine whether individuals should be classified as employees, workers, or self-employed, which affects their rights to minimum wage, holiday pay, and pension contributions. It may introduce a statutory definition or review process to resolve disputes about employment classification that currently create uncertainty for both workers and employers. The legislation responds to growing concerns that many workers lack basic protections because their status remains legally unclear."
1211,"The Energy Act 2016 reformed the UK's energy market to accelerate the transition to low-carbon electricity and reduce emissions. It introduced the Contracts for Difference scheme, which guarantees stable prices for renewable energy generators, making investment in wind, solar, and nuclear power more attractive. The Act also reformed electricity market rules, enhanced consumer protections, and established the Oil and Gas Authority to regulate North Sea energy production more efficiently."
1222,"This bill aims to protect vulnerable energy consumers by introducing two main measures: regulating pre-payment meter charges to prevent users from paying significantly more than standard customers, and requiring energy suppliers to offer affordable 'social tariffs' to low-income households. Pre-payment meters currently often charge higher unit rates despite being used disproportionately by poorer households, and this bill seeks to cap that premium. The social tariff requirement would create a dedicated low-cost energy option for struggling families, similar to schemes already operating in some European countries."
1224,"This bill sets energy efficiency standards for Houses in Multiple Occupation (HMOs) - these are homes rented out to several unrelated people, like student houses or shared flats. It would require landlords to make improvements such as better insulation and efficient heating to reduce energy waste and costs for tenants."
1225,"This bill aims to help reduce energy waste in buildings and make energy bills cheaper for people across the UK. It would likely set new standards for how efficiently homes and businesses use energy, and potentially introduce programmes or requirements to improve insulation, heating systems and other energy-saving measures."
1229,"This bill aims to tackle two problems at once: reducing carbon emissions from energy production to fight climate change, and making sure more people can afford to heat their homes properly. It would put new requirements on energy companies and direct money towards making homes warmer and more energy-efficient."
1230,"This bill aims to help the UK use energy more efficiently and cost-effectively. It would introduce measures to reduce energy waste and help people and businesses lower their energy bills, likely through improved standards for buildings, appliances, or energy practices."
1233,"This bill aims to protect off-grid households from high energy prices. Many rural homes can't access mains gas, so they rely on expensive alternatives like heating oil and LPG. The bill would introduce measures to make these energy sources more affordable and fair in price, similar to how on-grid households benefit from regulated gas prices."
1235,"This bill proposes changing how the UK uses daylight saving time (clock changes) to save energy. Currently we change clocks twice a year - the bill would either stop these changes or make daylight saving permanent, aiming to use natural daylight better and reduce energy costs."
1236,"The English Devolution and Community Empowerment Bill transfers powers from central government to local areas and communities across England. It enables regions to have greater control over decisions affecting them, such as economic development, transport, and public services, through devolved authorities. The bill also strengthens community involvement in local decision-making by giving residents and organisations more say in how public money is spent and services are delivered. This represents a shift toward 'levelling up' by allowing different areas to develop policies suited to their specific needs rather than following one-size-fits-all Westminster approaches."
1241,"The Environment Bill sets new laws to protect the UK's air, water, and wildlife. It creates responsibilities for the government and businesses to meet environmental targets, tackle pollution, and restore natural habitats. It also aims to reduce single-use plastics and improve recycling."
1245,This bill aims to improve how fly-tipping (illegally dumping rubbish on land) is reported and dealt with. It would likely create better systems for people to report fly-tipping and help councils and environmental agencies track and stop it more effectively.
1257,"This bill would change the rules around titles (like 'Lord', 'Lady', 'Sir', 'Dame') so that people can use titles that match their gender identity rather than being locked into titles based on their sex at birth. It's designed to make titles more inclusive for transgender and non-binary people."
1270,"The E-scooters (Review and Awareness) Bill requires the government to conduct a comprehensive review of e-scooter use and safety across the UK, and to launch a public awareness campaign about the risks and regulations. The bill focuses on gathering data about e-scooter accidents, injuries, and usage patterns, while also improving public understanding of where e-scooters can legally be used. It does not directly introduce new laws or bans, but instead mandates investigation and education to inform future policy decisions."
1271,"This bill aims to ban 'essay mills' - companies that write essays and assignments for students in exchange for money. It would make it illegal to provide or use these services, helping to stop cheating in universities and colleges across the UK."
1289,"This Act requires the UK Parliament to hold referendums (public votes) before the government can agree to major new powers for the European Union or significant changes to UK-EU relations. It's designed to make sure big EU decisions are approved by British voters, not just politicians."
1300,This Act allows the UK Parliament to approve Croatia's membership in the European Union and gives Ireland an opt-out from certain EU justice and law enforcement rules. It's mainly a formal legal step to update UK law to match these EU changes.
1305,"This bill is designed to make sure Parliament carefully considers all the ways that leaving the EU will affect the UK - including changes to laws, trade agreements, and people's rights. It aims to ensure the government plans properly for these big changes rather than rushing decisions."
1307,"This bill aims to make sure the UK government gives Parliament and citizens more information about European Union matters. It would require the government to be more transparent and open about EU-related decisions, negotiations, and their impacts on the UK."
1308,"This bill sets out new rules for how the UK government must collect, store, and share information about European Union matters. It aims to make sure Parliament and the public can access EU-related documents and information more easily after Brexit."
1310,This bill requires the UK government to provide more public information and reports about European Union issues and activities. It aims to increase openness and allow Parliament and citizens to better understand what the government is doing regarding EU-related matters.
1324,"This bill provides the legal framework for the UK to leave the European Union under the withdrawal agreement negotiated between the UK government and the EU. It implements the agreement that was finalized in October 2019, which includes a transition period (now ended) during which UK-EU relations would be governed by existing EU law. The bill ratifies the withdrawal agreement in UK law, establishes the legal mechanisms for the transition, and creates provisions for the UK-EU relationship after this period ends. Essentially, it makes the negotiated Brexit deal enforceable under British law."
1329,"This Act gave Parliament the legal power to block a no-deal Brexit and required the government to ask for more time from the EU if no agreement had been reached by October 31st, 2019. Essentially, it stopped the Prime Minister from forcing the UK out of the EU without a deal that Parliament had approved."
