id,support_explanation
1031,"[""- Provides financial security for abuse victims seeking escape: paid leave prevents the choice between keeping employment income and accessing safety support, which is a known barrier to leaving abusive relationships"",""- Protects employee privacy: victims can access leave without full disclosure to employers, reducing shame, stigma, and workplace gossip that might endanger their safety or employment prospects"",""- Reduces employer burden: the bill establishes clear legal entitlements rather than ad-hoc arrangements, creating certainty about what constitutes reasonable accommodation and reducing disputes"",""- Enables practical action: time off allows victims to attend court hearings, meet solicitors, view safe housing, access counselling, and develop safety plans, concrete steps that require time away from work""]"
1033,"[""- Homeowners gain legal recourse and compensation options if builders abandon projects, deliver substandard work, or become insolvent mid-project, reducing personal financial loss"",""- Mandatory contractor insurance and qualification requirements mean work meets consistent safety and quality standards, reducing hazardous DIY repairs and costly remedial work"",""- Clear contract requirements (including timelines, costs, and payment schedules) before work starts reduce misunderstandings and disputes that currently lead to costly litigation"",""- Creating an independent dispute resolution scheme provides an affordable, faster alternative to court for homeowners seeking remedies, improving access to justice for ordinary people""]"
1038,"[""- Directly reduces energy bills for every UK household by removing the 5% VAT, providing immediate financial relief, particularly benefiting lower-income families who spend a higher proportion of their income on heating and power"",""- Helps vulnerable groups including pensioners, disabled people, and families with children who struggle most with fuel costs and energy poverty, without requiring means-testing or application processes"",""- Stimulates the economy by freeing up household spending money that can be directed toward other goods and services, supporting local businesses and economic activity"",""- Recognises energy as an essential service rather than a luxury good, aligning VAT treatment with food (which has zero VAT) and reflecting that people cannot opt out of needing heating and lighting""]"
1039,"[""- Ensures government policy is based on robust evidence rather than assumptions, potentially saving money by identifying the most effective interventions before rolling them out nationally"",""- Gives businesses, charities, and homeowners a voice in shaping future energy efficiency requirements, rather than having rules imposed without consultation"",""- Addresses the urgent need for clarity on UK housing stock improvements, as previous government schemes (Green Homes Grant, Energy Company Obligation) have been inconsistent and sometimes wasteful"",""- Delays costly regulations until we understand the true cost and practical barriers to retrofitting homes, protecting households from unaffordable mandates""]"
1047,"Voting to support this bill means you want to improve how energy-efficient homes are in the UK. If it passes, homes would need to meet minimum energy performance standards, which could lower heating bills for residents and reduce carbon emissions."
1061,"Voting to support this bill means you want Parliament to review and update how judges sentence people for driving crimes. If it passes, the Sentencing Council will examine current guidelines to ensure punishments for offences like dangerous driving or drink-driving are fair and appropriate."
1064,"- Protects innocent drivers financially: victims of accidents caused by uninsured drivers can claim compensation from the Motor Insurers' Bureau, but stricter enforcement reduces the burden on this fund and keeps premiums lower for compliant motorists
- Improves road safety accountability: drivers know they must carry insurance, incentivizing responsible behaviour and ensuring adequate cover for emergency medical treatment and vehicle repairs
- Targets dangerous non-compliance: approximately 1 in 20 drivers are uninsured; harsher penalties and enforcement deter this illegal behaviour and remove persistent offenders from roads through driving bans
- Generates enforcement resources: increased fines create funding for traffic policing and vehicle compliance checks, improving overall road enforcement capacity"
1065,"A vote to support this bill means you think drones need proper rules and safety checks. If it passes, drones will be regulated - meaning the government can set rules about where they can fly, who can operate them, and how they must be used safely."
1067,"Voting for this bill means supporting better ways to detect and assess drug use in drivers. If it passes, police would have improved tools to identify drug-impaired drivers on the road, potentially making journeys safer and reducing accidents caused by drug use."
1068,"Voting to support this bill means you think the government should change how illegal drugs are classified and introduce roadside drug testing for drivers (similar to breath tests for alcohol). Supporters believe this will help catch drug-impaired drivers, reduce drug-driving accidents, and ensure drug laws reflect current scientific understanding."
1085,"- Early detection saves lives: Better-trained staff can identify eating disorders sooner, when interventions are more effective and less costly, potentially preventing serious medical complications and deaths
- Reduces diagnostic delays: Currently, patients wait months or years for diagnosis; mandatory training ensures consistent knowledge across all healthcare settings, allowing GPs and A&E staff to recognize warning signs immediately
- Addresses a gap in current practice: Many healthcare professionals report limited training on eating disorders; standardizing training fills this gap and reduces postcode lottery variations in care quality
- Improves treatment outcomes: Staff trained to understand the psychological and medical complexity of eating disorders can provide more compassionate, effective care and better coordinate treatment across services"
1086,"Supporting this bill means voting to make 'ecocide' (large-scale damage to the environment) a serious crime in UK law. If it passes, companies or individuals who cause severe environmental destruction could face criminal prosecution and penalties, similar to other major crimes."
1091,"Voting to support this bill means you believe the government should have a clearer long-term plan for the UK's economy. If it passes, the government would be required to set out a detailed economic strategy, which supporters say would help businesses plan ahead and create more jobs and growth."
1097,"[""- Reflects religious and cultural diversity: Reduces the Christian-focused requirement, making assemblies more inclusive for schools with significant Muslim, Hindu, Jewish, secular and other faith communities"",""- Increases school flexibility: Allows headteachers to design assemblies suited to their specific school community rather than following a one-size-fits-all Christian model"",""- Respects parental choice: Maintains or strengthens the ability of parents to withdraw children from assemblies on religious grounds, particularly important for families with different faith backgrounds"",""- Preserves collective benefits: Keeps the principle of assemblies for school community-building, pastoral care and shared values while making the content more appropriate to modern Britain""]"
1103,"Voting to support this bill means you believe that students with non-religious philosophical beliefs (like humanism or atheism) should have the same legal protections in schools as students with religious beliefs. If it passes, schools would be required to treat these philosophical convictions with equal respect and accommodate them appropriately."
1106,"[""- Strengthens civic understanding by ensuring all students learn about democratic institutions, parliamentary processes, and the constitutional framework that governs the UK"",""- Promotes social cohesion by teaching shared values that help diverse communities understand common principles and reduce polarisation"",""- Addresses concerns about extremism by explicitly teaching students about tolerance, respect for different beliefs, and the rule of law as protective principles"",""- Creates consistency across schools so that educational standards for civic knowledge and values are uniform rather than dependent on individual school leadership""]"
1109,"Supporting this Act means backing stronger protections for children in schools and training centres. It aims to ensure young people are safe, healthy, and well-cared for while learning, which helps them focus on their education and development."
1113,"- Establishes consistent mental health support across all educational settings, preventing gaps where some students receive help while others in under-resourced institutions do not
- Requires early identification and intervention for struggling students, potentially preventing mental health crises, self-harm, or suicide among young people
- Creates accountability through mandatory reporting requirements, allowing parents, regulators, and the public to assess whether institutions are meeting their duty of care
- Reduces pressure on NHS mental health services by embedding preventative support within schools and educational institutions, where many mental health issues first emerge"
1114,"Voting to support this bill means you want to give EEA nationals (people from European Economic Area countries) the right to stay in the UK permanently without needing to reapply for permission. If it passes, eligible EEA citizens would get indefinite leave to remain, which provides long-term security and stability for their lives in the UK."
1123,"- Ensures democratic equality by removing barriers that currently force blind voters to either rely on companions to read ballots (compromising secrecy) or struggle with standard voting methods, enabling truly independent voting rights. - Addresses a documented gap in current UK electoral law; blind voters often cannot exercise their right to a secret ballot, violating principles of fair representation. - Implementation is straightforward and proven in other democracies; accessible voting technology (such as audio-ballot systems or tactile templates) is already tested and cost-effective. - Expands the electoral franchise in practice by enabling blind and visually impaired citizens, estimated at around 2 million in the UK, to participate fully in elections with dignity and confidence."
1127,"- Fairer representation: parties would receive seats matching their vote share, so millions of votes currently 'wasted' on losing candidates would count toward representation
- Reduces landslide majorities: single-party governments with 35-40% of votes would no longer control Parliament alone, encouraging coalition-building and compromise
- Increases voter choice: voters in safe constituencies would have genuine reason to vote for smaller parties, potentially boosting turnout and engagement
- Better reflects voter diversity: parties like the Greens and Reform UK would gain seats proportional to their support, giving underrepresented political viewpoints parliamentary voice"
1142,"Voting to support this bill means you want to allow electric personal vehicles (like e-scooters and e-bikes) to be used legally on UK roads and highways. If it passes, people would be able to ride these vehicles on public roads with proper rules, making them a legal and safer transport option for short journeys."
1143,"Voting to support this bill means you want to allow electric personal vehicles (like e-scooters and e-bikes) to be legally used on UK highways and roads. If it passes, more people could use these vehicles as an official form of transport, which could help reduce traffic and pollution in towns and cities."
1150,"[""- Encourages sustainable transport by removing regulatory barriers to e-bike adoption, helping reduce car dependency and carbon emissions in urban and rural areas"",""- Creates consistent safety standards across all e-bikes sold in the UK, ensuring motors, batteries and braking systems meet minimum requirements to protect riders and pedestrians"",""- Clarifies the legal status of e-bikes so users understand where they can legally ride (cycle lanes, roads, pavements where applicable) without fear of prosecution"",""- Supports public health by making cycling accessible to older people, those with mobility issues, and commuters on longer routes, increasing physical activity and reducing sedentary transport""]"
1155,"Voting to support this bill means you want stricter rules on e-cigarette advertising and want to raise the legal age for buying them. If it passes, fewer young people would see e-cigarette adverts, and it would be illegal for under-18s (or whatever age is set) to purchase them, similar to current rules for tobacco."
1156,"Voting to support this bill means you want stricter rules on how e-cigarettes are branded, promoted and advertised. If it passes, companies would be limited in how they market e-cigarettes (through adverts, sponsorships, packaging design, etc.), which supporters believe would reduce their appeal to young people and help public health."
1157,"A vote to support this bill means you want the government to regulate e-cigarettes more strictly. If it passes, e-cigarettes would face new rules - similar to regular cigarettes - like restrictions on advertising, who can buy them, and possibly how they're sold."
1161,"- Increases likelihood that bystanders can perform CPR or first aid in emergencies, potentially saving lives during the critical minutes before ambulances arrive - Builds confidence among young people to act decisively in medical crises rather than freezing or feeling helpless - Extends first aid knowledge beyond just trained professionals, creating a more prepared population across all socioeconomic backgrounds - Establishes these skills early in life when students are most receptive to learning, making them habitual and automatic in emergencies"
1172,"Supporting this Act means backing rules that make sure tips given to workers actually go to them, rather than being kept by employers or unfairly distributed. It protects low-paid workers like restaurant staff and bar workers from losing money that customers intended for them."
1177,"A vote to support this bill means you think the new rules about dismissing and re-employing workers are a good idea. If it passes, these new employment rules would become law and would apply to businesses across the UK."
1178,"Voting to support this bill means you think the rules around firing and rehiring workers need to change. If it passes, it would likely introduce new legal protections or requirements for employers when they dismiss and then re-employ staff, potentially making it harder to unfairly dismiss workers or rehire them on worse terms."
1179,"Voting to support this bill means you want to protect workers from being unfairly dismissed and then immediately re-hired on worse terms. If it passes, employers would be prevented from using dismissal as a way to cut workers' pay, benefits, or conditions - a practice sometimes called 'fire and rehire'."
1180,"Voting to support this bill means you believe workers deserve guaranteed minimum hours from their employers. If it passes, workers on zero-hours contracts would have more job security and predictable income, knowing they have a set number of hours each week."
1183,"Voting to support this bill means you want stronger protections for workers who are fired and then rehired by the same employer. If it passes, it would make it harder for companies to use dismissal and re-engagement as a way to cut wages, change contracts, or weaken workers' rights, particularly those involved in trade unions."
1187,"A vote to support this bill means you think the law should be changed to give more equality protections to people in insurance-related work. If it passes, it would likely make it illegal for insurance companies and related businesses to unfairly treat employees based on characteristics like age, disability, or other protected qualities."
1196,"Supporting this Act means employees get stronger rights to request flexible working arrangements like working from home, part-time hours, or flexible schedules. It gives workers better work-life balance and helps people care for families or manage health conditions while staying employed."
1203,"- Strengthens job security by clarifying worker rights and making dismissal procedures more transparent and fair
- Improves workplace standards across sectors, potentially raising wages and conditions for lower-paid workers
- Provides clearer enforcement mechanisms for workers to challenge unfair treatment without excessive legal costs
- Extends protections to modern working arrangements, such as gig economy and zero-hours contract workers who currently lack certain safeguards"
1205,"[""- Special constables would receive protection against arbitrary removal, ensuring they cannot be dismissed without fair process and grounds, providing job security for volunteers who dedicate significant time to policing"",""- Volunteers would gain access to formal grievance procedures, allowing them to challenge unfair treatment or unsafe conditions rather than having limited recourse to resolve workplace disputes"",""- The bill recognises special constables' contribution to public safety by bringing their legal status closer to regular employees, potentially improving recruitment and retention of volunteers by signalling their value"",""- Special constables could claim compensation for workplace injuries through employment law, protecting those injured during volunteer police duties from bearing financial costs alone""]"
1206,"Voting to support this bill means you think the law should clearly define what makes someone an employee, a worker, or self-employed. If it passes, it would create clearer rules so that workers know their rights and employers know their responsibilities, which could reduce confusion and disputes."
1207,"[""- Provides workers currently classified as self-employed or independent contractors with access to employee protections including minimum wage, paid holiday, sick pay, and pension contributions they may currently be denied"",""- Reduces legal uncertainty and costly tribunal disputes by establishing clearer, more objective criteria for determining employment status, benefiting both workers seeking protection and employers needing clarity"",""- Protects vulnerable workers in gig economy sectors (delivery, ride-sharing, care work) from exploitation by preventing companies from deliberately misclassifying them to avoid employment obligations"",""- Creates a fairer tax system by ensuring workers properly classified as employees pay appropriate taxes and National Insurance contributions rather than being classified as self-employed to reduce employer costs""]"
1209,"Supporting this Act means backing efforts to make the UK's energy supply cleaner and more secure. It helps develop nuclear power and renewable energy sources, which can reduce bills long-term and create green jobs while cutting carbon emissions."
1211,"[""- Provides investment certainty for renewable energy projects through long-term price contracts, encouraging faster deployment of wind and solar farms that reduce carbon emissions"",""- Protects household bills from volatile energy prices by stabilizing costs through competitive bidding processes rather than open-ended subsidies"",""- Strengthens consumer rights by improving transparency, requiring clearer billing, and establishing stronger protections against unfair contract terms"",""- Supports the UK's climate commitments and reduces energy imports by encouraging domestic renewable and nuclear generation capacity""]"
1215,Supporting this Act means believing the government should take extra tax from oil and gas companies when they make unusually high profits. Supporters argue this money can help with the cost-of-living crisis and fund clean energy projects that benefit everyone.
1216,"- Protects vulnerable households from extreme energy bills by guaranteeing permanently lower tariffs, rather than relying on temporary government price cap measures that may be withdrawn
- Shifts some responsibility from taxpayers to energy companies, requiring suppliers to absorb costs rather than government funding social support entirely through taxation
- Provides targeted help to people most in need, those with chronic illnesses, disabilities, low pensions, and families in fuel poverty, rather than subsidising energy for all consumers equally
- Creates a structured, long-term solution that improves energy security for vulnerable groups and reduces the health risks associated with cold homes (such as cardiovascular disease and poor mental health)"
1217,"[""- Strengthens worker protections by clarifying employment status (particularly for gig economy workers), ensuring access to statutory rights like sick pay, holiday pay, and pension contributions currently denied to many self-employed workers"",""- Accelerates the UK's net-zero transition by investing in renewable energy infrastructure and grid modernisation, reducing long-term energy costs and creating skilled jobs in green sectors"",""- Improves energy security and reduces dependency on volatile international fossil fuel markets by developing domestic renewable capacity and storage solutions"",""- Raises living standards for low-paid workers through stronger enforcement of minimum wage laws and preventing exploitation through bogus self-employment arrangements""]"
1222,"[""- Reduces the 'pre-payment penalty': households using pre-payment meters pay 20-30% more per unit than direct debit customers for identical energy. This bill would narrow that gap, saving vulnerable households significant amounts annually."",""- Creates affordable energy access: mandatory social tariffs ensure low-income families have a designated affordable option rather than relying on energy companies' discretionary schemes, providing predictable protection for around 8-10 million eligible households."",""- Tackles energy poverty: prevents the poorest households from subsidizing wealthier ones, as current pricing structures effectively transfer wealth upward. This directly supports NHS-recommended health outcomes by ensuring families can heat homes adequately."",""- Promotes fairness in energy markets: establishes a principle that energy pricing should reflect actual supply costs, not consumer vulnerability, creating a more transparent and ethical market structure.""]"
1224,"Voting for this bill means supporting rules that make shared student and rental houses more energy-efficient. If it passes, landlords would need to improve things like insulation and heating systems in houses with multiple tenants, which would lower energy bills for residents and help reduce carbon emissions."
1230,"Voting to support this bill means you think the government should take action to make energy use more efficient and cost-effective for UK households and businesses. If it passes, it would likely introduce new rules or incentives to help people save money on energy bills and reduce waste."
1231,Supporting this Act means backing government help to reduce energy bills for households and businesses struggling with high costs. It aims to protect people from extreme price increases and keep heating and electricity affordable during the cost-of-living crisis.
1233,"Voting to support this bill means you believe off-grid households (those not connected to the gas network) need government help with their energy costs. If it passes, the government would likely introduce price controls or financial support to make heating oil, LPG, and other fuels more affordable for these rural and isolated communities."
1234,"Voting to support means you want the UK to change its clocks to save energy. If it passes, the country would likely stay on summer time (British Summer Time) for longer or year-round, meaning lighter evenings and darker mornings."
1235,"Voting to support this bill means you want the UK to change its clocks to save energy. If it passes, the country would likely stay on one time year-round, or shift to daylight saving time permanently, which supporters believe could reduce electricity use and make better use of daylight."
1236,"- Allows local areas to make decisions that reflect their unique circumstances and priorities, rather than having policies imposed from Westminster, leading to more responsive and effective governance. - Enables communities to have direct influence over public spending and service delivery in their areas, increasing democratic accountability and civic engagement. - Provides regions outside London with greater economic autonomy to attract investment, develop local industries, and create jobs tailored to their labour markets. - Reduces bureaucracy by cutting out unnecessary central government approval processes, allowing local leaders to act faster on issues like housing, skills training, and infrastructure."
1242,"Supporting this Act means backing stronger environmental protections for the UK. It sets legal targets to reduce air pollution, improve water quality, protect wildlife, and tackle plastic waste - helping create a healthier environment for everyone and protecting nature for future generations."
1245,"Voting to support this bill means you want to make it easier for people to report fly-tipping (illegal dumping of waste). If it passes, there would be clearer ways to report fly-tipping and possibly stronger consequences for people who do it, helping keep the environment cleaner."
1248,"- Ensures public money drives environmental progress: Public authorities spend billions annually, so legally binding targets force them to embed sustainability into procurement, operations, and service delivery rather than treating it as optional.
- Creates measurable accountability: Specific targets (rather than vague commitments) mean citizens and Parliament can verify whether councils, hospitals, and government departments are actually reducing emissions and environmental harm.
- Accelerates progress toward net-zero and nature recovery: Public authorities setting the example encourages supply chains and private sector partners to improve environmental standards, multiplying the bill's impact beyond the public sector alone.
- Closes a governance gap: Currently, public bodies have weaker environmental obligations than private companies, so this bill levels the playing field and prevents greenwashing through unmet promises."
1257,"Voting to support this bill means you think people should be able to use titles (like 'Lord' or 'Lady') that match their gender identity, regardless of their sex at birth. If it passes, it would make it easier for transgender and non-binary people to have their chosen titles officially recognized."
1268,"[""- Provides long-overdue justice to over 1 million policyholders who lost substantial retirement savings and investments through no fault of their own due to poor company management and regulatory oversight failures"",""- Offers concrete financial redress with a structured compensation formula, ending decades of uncertainty for affected individuals who have received no systematic support since the 2000 collapse"",""- Acknowledges government and regulatory responsibility, as the Financial Services Authority's regulatory failures contributed to the scale of losses that weren't prevented or adequately managed"",""- Restores confidence in the insurance industry and mutual organizations by demonstrating that serious failures result in meaningful consequences and compensation for victims""]"
1270,"- Establishes a solid evidence base on e-scooter safety and usage, which currently lacks comprehensive UK-wide data needed to make informed regulatory decisions - Funds a public awareness campaign to reduce accidents and injuries by educating users about safe riding practices and legal restrictions - Addresses the gap between rapid e-scooter adoption and actual understanding of their impact, particularly regarding interactions with pedestrians and vulnerable road users - Delays potentially harmful or overly restrictive regulation until proper research is completed, allowing the government to base future rules on facts rather than assumptions"
1291,Supporting this Act means allowing the UK Parliament to approve changes to how the European Union works. Supporters believed this was necessary to keep the EU functioning properly and to maintain Britain's influence in EU decision-making.
1306,"Voting to support this bill means you want Parliament to require the government to provide better information and transparency about UK-EU relations and agreements. If it passes, the government would have to regularly publish reports and documents about how Brexit is working and any ongoing dealings with Europe."
1307,"Voting to support this bill means you believe the UK government should be required to provide better information to Parliament and the public about EU-related matters. If it passes, it would make sure people have clearer access to information about how EU policies affect the UK and what negotiations are happening."
1308,"Voting to support this bill means you want Parliament to pass new rules about how information related to the European Union is handled and shared. If it passes, it would likely improve how EU-related documents and data are made available to the public and Parliament."
1310,"Voting for this bill means you want the UK government to be more transparent about its dealings with the European Union. If it passes, the government would be required to publish more information about EU-related matters, making it easier for the public and Parliament to understand what's happening."
1311,"Supporting this bill means voting to give Parliament better access to information about the UK's relationship with the European Union. If it passes, it would require the government to publish more details about EU-related matters, making it easier for MPs and the public to understand what's happening."
1324,"[""- Provides legal certainty and clarity by converting the negotiated withdrawal agreement into enforceable UK law, reducing ambiguity about post-Brexit arrangements"",""- Allows for an orderly transition period in which trade and regulatory relationships continue under EU rules, giving businesses and individuals time to adapt rather than facing abrupt change"",""- Enables the UK to begin negotiating its own independent trade deals and international agreements without EU constraints, supporting sovereignty and potentially opening new economic opportunities"",""- Protects citizens' rights during transition by maintaining existing protections and establishing clear procedures for residency, pensions, and other entitlements for UK and EU citizens""]"
1329,"Supporting this Act means wanting Parliament to have more control over Brexit decisions rather than the Prime Minister making them alone. Supporters believed it would give MPs a chance to vote on any Brexit deal before it became final, protecting against a 'no-deal' Brexit that could harm the economy."
1335,"Voting to support this bill means you want to change how the European Union Act 2011 works. If it passes, Parliament would have new rules about how the UK handles EU matters, possibly giving Parliament more power to decide on EU-related decisions."
1354,"[""- Reduces costs for maintaining irreplaceable historical buildings that are central to local communities and often open to the public, allowing funds to be spent on preservation rather than taxes"",""- Recognizes that listed places of worship provide significant public benefit through heritage conservation, tourism, and community services, justifying preferential tax treatment similar to other cultural institutions"",""- Levels the playing field with other charities and non-profits that already receive VAT exemptions, ensuring religious organizations aren't disadvantaged compared to secular heritage bodies"",""- Prevents deterioration of architecturally significant buildings that would be costly or impossible to restore if funding is diverted to VAT payments""]"
1355,"Voting to support this bill means you want certain organisations or services to stop paying VAT (Value Added Tax - a 20% sales tax). If it passes, these exempted groups would pay less tax, making their products or services cheaper for customers and saving them money."
1356,"[""- Reduces costs for essential services by exempting them from VAT, making healthcare, education, or charitable activities more affordable and accessible to low-income families and vulnerable groups"",""- Supports specific industries or charities by removing tax burdens, allowing them to reinvest savings into service provision rather than paying tax to the government"",""- Simplifies the tax system by clarifying which miscellaneous goods and services should be exempt, reducing confusion for businesses about their VAT obligations"",""- Promotes public welfare by exempting items or services deemed socially important, such as medical equipment, educational materials, or services provided by not-for-profit organizations""]"
1357,"- Reduces the cost of building charging infrastructure by removing 20% VAT, making it economically viable for more councils and businesses to install chargers in underserved areas - Lowers charging fees for EV drivers by reducing operating costs, making electric vehicles more competitive with petrol and diesel cars on total cost of ownership - Accelerates the transition to zero-emission transport by removing a financial barrier to EV adoption, supporting the UK's commitment to net-zero carbon emissions by 2050 - Aligns with similar tax exemptions already offered in other EU countries, preventing the UK from being disadvantaged in the EV market after Brexit"
1358,"Voting to support this bill means you believe government officials and public bodies should have more flexibility when making decisions about rules and regulations. If it passes, it would allow decision-makers to use their judgment and common sense rather than always following strict, rigid procedures."
1382,"[""- Improves connectivity for island and coastal communities by ensuring regular, reliable ferry services that might otherwise be abandoned due to low profitability, particularly in rural areas where ferries are essential transport links"",""- Reduces passenger costs and journey times through integrated ticketing and timetable coordination with trains and buses, making multi-leg journeys simpler and more affordable"",""- Strengthens environmental and safety standards across the industry through mandatory compliance requirements, protecting passengers and reducing pollution from poorly-regulated operators"",""- Enables strategic investment in ferry infrastructure and fleet modernisation through coordinated planning, rather than leaving decisions solely to profit-motivated private companies""]"
1385,"- Removes a major barrier to accessing fertility treatment by eliminating the choice between keeping employment income and attending essential medical appointments, making treatment financially viable for more people
- Reduces workplace stress and health risks by allowing employees to attend appointments without fear of disciplinary action, redundancy, or being passed over for promotion
- Addresses gender inequality by ensuring women are not disadvantaged in employment due to the time-intensive nature of fertility procedures, which typically fall on female partners
- Brings the UK into alignment with other developed nations that already provide such protections, and recognises fertility treatment as legitimate medical care equivalent to other health conditions"
1387,"[""- Protects public safety by requiring organisers to implement emergency procedures, medical facilities, and security measures at festivals, reducing risks of crowd accidents and health crises"",""- Shields local communities from excessive noise and disruption through enforceable noise limits and restricted operating hours, improving quality of life for residents near festival sites"",""- Ensures environmental accountability by requiring organisers to manage waste, prevent site damage, and restore venues after events, protecting green spaces and wildlife"",""- Creates financial liability protections for local authorities and taxpayers by requiring organisers to post bonds and insurance, ensuring costs of cleanup or incident response aren't passed to the public""]"
1402,"Supporting this Act means backing the government's tax plans for 2020. It could help fund public services like the NHS and schools, and might include tax changes designed to help businesses or workers during the COVID-19 pandemic."
1405,"[""- Allows the government to adjust tax thresholds and allowances in line with inflation, preventing 'fiscal drag' where wages keep pace with inflation but tax allowances don't, meaning workers pay more tax in real terms"",""- Enables targeted tax reliefs and incentives for priority areas such as business investment, green energy transition, or research and development, which can drive economic growth and job creation"",""- Provides legal authority for closing perceived tax loopholes and enforcing compliance measures that protect the tax base and ensure wealthier individuals and profitable companies pay their fair share"",""- Allows the Treasury to respond to economic conditions by adjusting fiscal policy, such as raising business investment allowances during downturns or raising duties on carbon-heavy activities to meet climate targets""]"
1411,"I cannot generate support arguments without knowing the bill's specific provisions. Once the Finance Act 2026 is published, supporting it might involve arguments such as: - funding for public services like the NHS and education, - measures to improve business competitiveness or investment, - tax fairness or closing loopholes, or - support for specific groups (working families, pensioners, etc.). To understand what supporters actually argue, you should consult the Treasury's impact assessment and statements from supporting MPs and organisations."
1415,"[""- Strengthens UK security by supporting Ukraine's ability to defend itself, reducing the risk of Russian expansion that could eventually threaten NATO allies and British interests in Europe"",""- Demonstrates UK commitment to international law and the rules-based order by supporting a sovereign nation resisting invasion, reinforcing Britain's diplomatic standing and alliance relationships"",""- Provides efficient, streamlined mechanisms for delivering aid rather than repeatedly returning to Parliament, allowing faster humanitarian and military support when circumstances change rapidly"",""- Contributes to Ukraine's post-war reconstruction and economic stability, which benefits UK interests through future trade relationships and regional security in Europe""]"
1416,"[""- Equips young people with essential life skills before entering adulthood, reducing future debt problems, poor credit decisions, and financial vulnerability"",""- Narrows inequality by providing disadvantaged students with financial knowledge that wealthier families typically teach at home, creating more equal economic opportunities"",""- Reduces reliance on high-cost credit and predatory lending by helping people understand borrowing costs, budgeting, and alternative financial products"",""- Strengthens long-term economic productivity and mental health by enabling individuals to make informed financial decisions and reduce financial stress""]"
1434,"Supporting this Act means backing stronger fire safety rules in buildings, especially high-rise apartments. It aims to protect residents by making sure buildings are safer, fire risks are reduced, and people are properly warned if there's danger."
1440,"[""- Reduces firearm deaths in domestic settings by preventing abusers with a history of violence from legally obtaining weapons, addressing a documented correlation between domestic abuse and domestic homicide"",""- Closes information gaps by requiring police, courts, and licensing bodies to share domestic violence records, ensuring decision-makers have complete evidence when assessing applications"",""- Protects vulnerable people (primarily women and children) from escalated violence, as research shows that abusers with firearm access are five times more likely to kill their partners"",""- Aligns UK law with international best practice, as similar measures in other countries have demonstrably reduced domestic homicides without restricting responsible gun owners""]"
1442,"[""- Prevents unlicensed individuals from manufacturing fully functional firearms in their homes, reducing access to untraceable weapons used in crimes and terrorism"",""- Closes a significant loophole in existing firearms law, as current regulations were written before 3D printing technology made home weapon manufacture feasible"",""- Protects public safety by maintaining centralized oversight of firearm production through the existing licensed firearms dealer and manufacturer system"",""- Aligns UK law with public safety principles already established in conventional firearms regulation, ensuring consistent standards across all manufacturing methods""]"
1447,"[""- Reduces distress to pets and wildlife by limiting when fireworks can be set off, protecting animals from unnecessary stress and potential injury during peak usage periods"",""- Decreases noise pollution in residential neighbourhoods by establishing quiet hours (typically evenings and early mornings), improving quality of life and sleep for residents"",""- Improves public safety by requiring retailers to be properly licensed and trained, reducing access to fireworks by minors and those with criminal records or safety concerns"",""- Provides clearer enforcement mechanisms and penalties, giving local authorities better tools to respond to irresponsible firework use and hold offenders accountable""]"
1448,"[""- Reduces distress to pets and animals: Fireworks cause severe anxiety in dogs, cats, and wildlife; stricter controls would limit unnecessary suffering and help prevent animals fleeing homes or being injured"",""- Protects vulnerable people: Restricts noise nuisance for those with PTSD, anxiety disorders, and elderly residents who suffer disproportionately from sudden loud noises and sleep disruption"",""- Maintains celebration freedoms with responsibility: Allows legitimate fireworks displays through a permit system while preventing random, inconsiderate use on any night of the year"",""- Reduces antisocial behaviour: Formal regulations give police clearer powers to enforce against misuse and limit fireworks being used to intimidate communities or cause public disorder""]"
1458,"Voting to support this bill means you want stricter controls on Fixed Odds Betting Terminals (FOBTs) - the electronic gambling machines found in betting shops. If it passes, it would likely reduce the maximum stake players can bet per spin and introduce other protections to prevent problem gambling and reduce harm to vulnerable people."
1464,"Voting to support this bill means you want to remove the Fixed-term Parliaments Act 2011, which currently forces Parliament to have elections every 5 years. If it passes, the Prime Minister would regain the power to call an election whenever they choose (within a 5-year limit), giving them more flexibility to pick timing they think is advantageous."
1465,"Voting for this bill means you want to remove the Fixed-term Parliaments Act 2011, which forces elections every 5 years. If it passes, the Prime Minister can call an election whenever they choose (within a 5-year limit), giving them more flexibility and returning to how Parliament worked before 2011."
1466,"Voting to support this bill means you want to remove the Fixed-term Parliaments Act 2011, which currently forces general elections every 5 years. If it passes, the Prime Minister would regain the power to call a general election whenever they think is best, giving them more flexibility to choose the timing."
1468,"Voting to support this bill means you believe workers should have more power to ask for flexible working arrangements like different hours, working from home, or part-time options. If it passes, employers would find it easier for employees to request these changes, and companies would have to seriously consider these requests rather than automatically saying no."
